Tiempo (s) Serie Nº 1	Pressió absoluta (torr) Serie Nº 1	Temperatura (°C) Serie Nº 1
134,600	15,162	6,80
134,800	14,785	6,81
135,000	14,933	6,81
135,200	14,883	6,81
135,400	15,047	6,81
135,600	14,998	6,81
135,800	14,736	6,81
136,000	15,276	6,81
136,200	14,965	6,81
136,400	14,982	6,81
136,600	14,933	6,81
136,800	14,900	6,81
137,000	14,883	6,81
137,200	15,113	6,81
137,400	15,211	6,81
137,600	14,867	6,81
137,800	15,293	6,81
138,000	14,933	6,81
138,200	14,998	6,81
138,400	14,916	6,81
138,600	15,276	6,81
138,800	15,276	6,81
139,000	15,178	6,81
139,200	15,113	6,81
139,400	15,358	6,81
139,600	15,178	6,81
139,800	15,260	6,81
140,000	15,358	6,80
140,200	15,293	6,81
140,400	15,243	6,80
140,600	15,260	6,80
140,800	15,407	6,80
141,000	15,374	6,80
141,200	15,276	6,79
141,400	15,522	6,79
141,600	15,260	6,79
141,800	15,423	6,79
142,000	15,456	6,79
142,200	15,276	6,79
142,400	15,309	6,78
142,600	15,522	6,79
142,800	15,325	6,79
143,000	15,145	6,79
143,200	15,391	6,79
143,400	15,440	6,79
143,600	15,440	6,79
143,800	15,358	6,79
144,000	15,374	6,80
144,200	15,342	6,80
144,400	15,456	6,80
144,600	15,194	6,80
144,800	15,522	6,80
145,000	15,358	6,79
145,200	15,309	6,80
145,400	15,636	6,79
145,600	15,456	6,80
145,800	15,522	6,80
146,000	15,620	6,78
146,200	15,636	6,79
146,400	15,718	6,78
146,600	15,505	6,78
146,800	15,767	6,78
147,000	15,620	6,78
147,200	15,653	6,78
147,400	15,816	6,78
147,600	15,718	6,78
147,800	15,931	6,78
148,000	15,800	6,78
148,200	15,669	6,77
148,400	15,882	6,77
148,600	15,603	6,77
148,800	15,718	6,77
149,000	16,029	6,77
149,200	15,882	6,76
149,400	16,078	6,76
149,600	16,045	6,76
149,800	16,242	6,75
150,000	15,800	6,75
150,200	15,832	6,76
150,400	15,947	6,75
150,600	15,996	6,75
150,800	15,832	6,75
151,000	16,291	6,75
151,200	15,898	6,75
151,400	16,062	6,75
151,600	16,225	6,75
151,800	15,767	6,75
152,000	16,160	6,75
152,200	16,029	6,76
152,400	16,160	6,75
152,600	15,898	6,75
152,800	16,274	6,75
153,000	16,307	6,75
153,200	16,225	6,75
153,400	16,291	6,76
153,600	16,192	6,76
153,800	16,225	6,75
154,000	16,209	6,75
154,200	16,307	6,75
154,400	16,192	6,75
154,600	16,242	6,75
154,800	16,307	6,74
155,000	16,291	6,74
155,200	16,323	6,74
155,400	16,438	6,74
155,600	16,585	6,73
155,800	16,749	6,74
156,000	16,389	6,74
156,200	16,307	6,73
156,400	16,209	6,73
156,600	16,356	6,73
156,800	16,225	6,73
157,000	16,405	6,73
157,200	16,242	6,74
157,400	16,503	6,73
157,600	16,422	6,73
157,800	16,323	6,73
158,000	16,340	6,73
158,200	16,471	6,72
158,400	16,438	6,72
158,600	16,372	6,72
158,800	16,667	6,72
159,000	16,356	6,71
159,200	16,602	6,71
159,400	16,471	6,71
159,600	16,585	6,71
